REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected,Houses_damaged,Houses_destroyed
Southern,AF27,Kandahar,AF2703,Daman,02-01-2022,Flood / flash flood,0,0,3,25,3,0
Southern,AF27,Kandahar,AF2702,Arghandab,02-01-2022,Flood / flash flood,0,0,4,40,4,0
Southern,AF27,Kandahar,AF2705,Zheray,02-01-2022,Flood / flash flood,0,0,3,30,3,0
Southern,AF27,Kandahar,AF2701,Kandahar,03-01-2022,Flood / flash flood,0,0,29,232,29,0
Southern,AF30,Hilmand,AF3002,Nad-e-Ali,04-01-2022,Flood / flash flood,2,2,171,1360,129,42
Southern,AF30,Hilmand,AF3004,Nahr-e-Saraj,04-01-2022,Flood / flash flood,0,0,24,192,12,12
Southern,AF30,Hilmand,AF3001,Lashkargah,04-01-2022,Flood / flash flood,0,0,38,304,50,0
Southern,AF34,Nimroz,AF3404,Charburjak,05-01-2022,Flood / flash flood,0,0,38,215,13,25
Eastern,AF15,Kunar,AF1514,Nurgal,05-01-2022,Flood / flash flood,0,0,27,189,24,3
Eastern,AF15,Kunar,AF1512,Dangam,05-01-2022,Flood / flash flood,0,0,2,14,2,0
Eastern,AF15,Kunar,AF1511,Ghaziabad,05-01-2022,Flood / flash flood,0,0,6,42,4,2
Eastern,AF15,Kunar,AF1510,Khaskunar,05-01-2022,Flood / flash flood,0,0,6,38,6,0
Eastern,AF15,Kunar,AF1505,Sarkani,05-01-2022,Flood / flash flood,1,0,5,35,5,0
Eastern,AF15,Kunar,AF1505,Sarkani,05-01-2022,Flood / flash flood,1,0,5,35,5,0
Eastern,AF15,Kunar,AF1515,Nari,05-01-2022,Flood / flash flood,0,0,3,21,3,0
Eastern,AF15,Kunar,AF1509,Chawkay,05-01-2022,Flood / flash flood,0,0,6,37,5,1
Eastern,AF15,Kunar,AF1507,Dara-e-Pech,05-01-2022,Flood / flash flood,0,0,6,42,6,0
Eastern,AF15,Kunar,AF1501,Asadabad,05-01-2022,Flood / flash flood,0,0,32,224,32,0
